question_id,question_subcategory,question_keyword,question_description,question_type,train_phase
benefit_search-outpatient_cardiovascular_procedure-1,outpatient cardiovascular procedure,Removal of subcutaneous implantable defibrillator electrode,Which plan(s) cover [outpatient cardiovascular procedure]?,1,Which plan(s) cover removal of subcutaneous implantable defibrillator electrode?
benefit_search-outpatient_cardiovascular_procedure-2,outpatient cardiovascular procedure,Removal of subcutaneous implantable defibrillator electrode,How much does [outpatient cardiovascular procedure] cost to me?,2,How much does removal of subcutaneous implantable defibrillator electrode cost to me?
benefit_search-outpatient_cardiovascular_procedure-1,outpatient cardiovascular procedure,Repositioning of previously implanted subcutaneous implantable defibrillator electrode,Which plan(s) cover [outpatient cardiovascular procedure]?,1,Which plan(s) cover repositioning of previously implanted subcutaneous implantable defibrillator electrode?
benefit_search-outpatient_cardiovascular_procedure-2,outpatient cardiovascular procedure,Repositioning of previously implanted subcutaneous implantable defibrillator electrode,How much does [outpatient cardiovascular procedure] cost to me?,2,How much does repositioning of previously implanted subcutaneous implantable defibrillator electrode cost to me?
benefit_search-outpatient_vascular_procedure-1,outpatient vascular procedure,"Insertion of cannula for hemodialysis, other purpose (separate procedure); vein to vein ",Which plan(s) cover [outpatient vascular procedure]?,1,"Which plan(s) cover insertion of cannula for hemodialysis, other purpose (separate procedure); vein to vein ?"
benefit_search-outpatient_vascular_procedure-2,outpatient vascular procedure,"Insertion of cannula for hemodialysis, other purpose (separate procedure); vein to vein ",How much does [outpatient vascular procedure] cost to me?,2,"How much does insertion of cannula for hemodialysis, other purpose (separate procedure); vein to vein  cost to me?"
benefit_search-outpatient_vascular_procedure-1,outpatient vascular procedure,"Insertion of cannula for hemodialysis, other purpose (separate procedure); arteriovenous, external (Scribner type) ",Which plan(s) cover [outpatient vascular procedure]?,1,"Which plan(s) cover insertion of cannula for hemodialysis, other purpose (separate procedure); arteriovenous, external (Scribner type) ?"
benefit_search-outpatient_vascular_procedure-2,outpatient vascular procedure,"Insertion of cannula for hemodialysis, other purpose (separate procedure); arteriovenous, external (Scribner type) ",How much does [outpatient vascular procedure] cost to me?,2,"How much does insertion of cannula for hemodialysis, other purpose (separate procedure); arteriovenous, external (Scribner type)  cost to me?"
benefit_search-outpatient_vascular_procedure-1,outpatient vascular procedure,"Insertion of cannula for hemodialysis, other purpose (separate procedure); arteriovenous, external revision, or closure ",Which plan(s) cover [outpatient vascular procedure]?,1,"Which plan(s) cover insertion of cannula for hemodialysis, other purpose (separate procedure); arteriovenous, external revision, or closure ?"
benefit_search-outpatient_vascular_procedure-2,outpatient vascular procedure,"Insertion of cannula for hemodialysis, other purpose (separate procedure); arteriovenous, external revision, or closure ",How much does [outpatient vascular procedure] cost to me?,2,"How much does insertion of cannula for hemodialysis, other purpose (separate procedure); arteriovenous, external revision, or closure  cost to me?"
benefit_search-outpatient_vascular_procedure-1,outpatient vascular procedure,"Arteriovenous anastomosis, open; by upper arm cephalic vein transposition ",Which plan(s) cover [outpatient vascular procedure]?,1,"Which plan(s) cover arteriovenous anastomosis, open; by upper arm cephalic vein transposition ?"
benefit_search-outpatient_vascular_procedure-2,outpatient vascular procedure,"Arteriovenous anastomosis, open; by upper arm cephalic vein transposition ",How much does [outpatient vascular procedure] cost to me?,2,"How much does arteriovenous anastomosis, open; by upper arm cephalic vein transposition  cost to me?"
benefit_search-outpatient_vascular_procedure-1,outpatient vascular procedure,"Arteriovenous anastomosis, open; by upper arm basilic vein transposition ",Which plan(s) cover [outpatient vascular procedure]?,1,"Which plan(s) cover arteriovenous anastomosis, open; by upper arm basilic vein transposition ?"
benefit_search-outpatient_vascular_procedure-2,outpatient vascular procedure,"Arteriovenous anastomosis, open; by upper arm basilic vein transposition ",How much does [outpatient vascular procedure] cost to me?,2,"How much does arteriovenous anastomosis, open; by upper arm basilic vein transposition  cost to me?"
benefit_search-outpatient_vascular_procedure-1,outpatient vascular procedure,"Arteriovenous anastomosis, open; by forearm vein transposition ",Which plan(s) cover [outpatient vascular procedure]?,1,"Which plan(s) cover arteriovenous anastomosis, open; by forearm vein transposition ?"
benefit_search-outpatient_vascular_procedure-2,outpatient vascular procedure,"Arteriovenous anastomosis, open; by forearm vein transposition ",How much does [outpatient vascular procedure] cost to me?,2,"How much does arteriovenous anastomosis, open; by forearm vein transposition  cost to me?"
benefit_search-outpatient_vascular_procedure-1,outpatient vascular procedure,"Arteriovenous anastomosis, open; direct, any site (e.g., Cimino type) (separate procedure) ",Which plan(s) cover [outpatient vascular procedure]?,1,"Which plan(s) cover arteriovenous anastomosis, open; direct, any site (e.g., Cimino type) (separate procedure) ?"
benefit_search-outpatient_vascular_procedure-2,outpatient vascular procedure,"Arteriovenous anastomosis, open; direct, any site (e.g., Cimino type) (separate procedure) ",How much does [outpatient vascular procedure] cost to me?,2,"How much does arteriovenous anastomosis, open; direct, any site (e.g., Cimino type) (separate procedure)  cost to me?"
benefit_search-outpatient_vascular_procedure-1,outpatient vascular procedure,Creation of arteriovenous fistula by other than direct arteriovenous anastomosis (separate procedure); autogenous graft ,Which plan(s) cover [outpatient vascular procedure]?,1,Which plan(s) cover creation of arteriovenous fistula by other than direct arteriovenous anastomosis (separate procedure); autogenous graft ?
benefit_search-outpatient_vascular_procedure-2,outpatient vascular procedure,Creation of arteriovenous fistula by other than direct arteriovenous anastomosis (separate procedure); autogenous graft ,How much does [outpatient vascular procedure] cost to me?,2,How much does creation of arteriovenous fistula by other than direct arteriovenous anastomosis (separate procedure); autogenous graft  cost to me?
benefit_search-outpatient_vascular_procedure-1,outpatient vascular procedure,Creation of arteriovenous fistula by other than direct arteriovenous anastomosis (separate procedure); non autogenous graft ,Which plan(s) cover [outpatient vascular procedure]?,1,Which plan(s) cover creation of arteriovenous fistula by other than direct arteriovenous anastomosis (separate procedure); non autogenous graft ?
benefit_search-outpatient_vascular_procedure-2,outpatient vascular procedure,Creation of arteriovenous fistula by other than direct arteriovenous anastomosis (separate procedure); non autogenous graft ,How much does [outpatient vascular procedure] cost to me?,2,How much does creation of arteriovenous fistula by other than direct arteriovenous anastomosis (separate procedure); non autogenous graft  cost to me?
benefit_search-outpatient_vascular_procedure-1,outpatient vascular procedure,"Revision, open, arteriovenous fistula; without thrombectomy, autogenous or nonautogenous dialysis graft (separate procedure)",Which plan(s) cover [outpatient vascular procedure]?,1,"Which plan(s) cover revision, open, arteriovenous fistula; without thrombectomy, autogenous or nonautogenous dialysis graft (separate procedure)?"
benefit_search-outpatient_vascular_procedure-2,outpatient vascular procedure,"Revision, open, arteriovenous fistula; without thrombectomy, autogenous or nonautogenous dialysis graft (separate procedure)",How much does [outpatient vascular procedure] cost to me?,2,"How much does revision, open, arteriovenous fistula; without thrombectomy, autogenous or nonautogenous dialysis graft (separate procedure) cost to me?"
benefit_search-outpatient_vascular_procedure-1,outpatient vascular procedure,"Revision, open, arteriovenous fistula; with thrombectomy, autogenous or nonautogenous dialysis graft (separate procedure)",Which plan(s) cover [outpatient vascular procedure]?,1,"Which plan(s) cover revision, open, arteriovenous fistula; with thrombectomy, autogenous or nonautogenous dialysis graft (separate procedure)?"
benefit_search-outpatient_vascular_procedure-2,outpatient vascular procedure,"Revision, open, arteriovenous fistula; with thrombectomy, autogenous or nonautogenous dialysis graft (separate procedure)",How much does [outpatient vascular procedure] cost to me?,2,"How much does revision, open, arteriovenous fistula; with thrombectomy, autogenous or nonautogenous dialysis graft (separate procedure) cost to me?"
benefit_search-outpatient_vascular_procedure-1,outpatient vascular procedure,"Distal revascularization and interval ligation (DRIL), upper extremity hemodialysis access (steal syndrome) ",Which plan(s) cover [outpatient vascular procedure]?,1,"Which plan(s) cover distal revascularization and interval ligation (DRIL), upper extremity hemodialysis access (steal syndrome) ?"
benefit_search-outpatient_vascular_procedure-2,outpatient vascular procedure,"Distal revascularization and interval ligation (DRIL), upper extremity hemodialysis access (steal syndrome) ",How much does [outpatient vascular procedure] cost to me?,2,"How much does distal revascularization and interval ligation (DRIL), upper extremity hemodialysis access (steal syndrome)  cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical, splenectomy",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover laparoscopy, surgical, splenectomy?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical, splenectomy",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does laparoscopy, surgical, splenectomy cost to me?"
benefit_search-outpatient_other_organ_systems_procedure-1,outpatient other organ systems procedure,Lymphangiotomy or other operations on lymphatic channels  ,Which plan(s) cover [outpatient hospital services]?,1,Which plan(s) cover lymphangiotomy or other operations on lymphatic channels  ?
benefit_search-outpatient_other_organ_systems_procedure-2,outpatient other organ systems procedure,Lymphangiotomy or other operations on lymphatic channels  ,How much does [outpatient hospital services] cost to me?,2,How much does lymphangiotomy or other operations on lymphatic channels   cost to me?
benefit_search-outpatient_other_organ_systems_procedure-1,outpatient other organ systems procedure,"Dissection, deep jugular node(s)  ",Which plan(s) cover [outpatient hospital services]?,1,"Which plan(s) cover dissection, deep jugular node(s)  ?"
benefit_search-outpatient_other_organ_systems_procedure-2,outpatient other organ systems procedure,"Dissection, deep jugular node(s)  ",How much does [outpatient hospital services] cost to me?,2,"How much does dissection, deep jugular node(s)   cost to me?"
benefit_search-outpatient_other_organ_systems_procedure-1,outpatient other organ systems procedure,Cervical lymphadenectomy (complete)  ,Which plan(s) cover [outpatient hospital services]?,1,Which plan(s) cover cervical lymphadenectomy (complete)  ?
benefit_search-outpatient_other_organ_systems_procedure-2,outpatient other organ systems procedure,Cervical lymphadenectomy (complete)  ,How much does [outpatient hospital services] cost to me?,2,How much does cervical lymphadenectomy (complete)   cost to me?
benefit_search-outpatient_other_organ_systems_procedure-1,outpatient other organ systems procedure,"Excision of parotid tumor or parotid gland; total, with dissection and preservation of facial nerve  ",Which plan(s) cover [outpatient hospital services]?,1,"Which plan(s) cover excision of parotid tumor or parotid gland; total, with dissection and preservation of facial nerve  ?"
benefit_search-outpatient_other_organ_systems_procedure-2,outpatient other organ systems procedure,"Excision of parotid tumor or parotid gland; total, with dissection and preservation of facial nerve  ",How much does [outpatient hospital services] cost to me?,2,"How much does excision of parotid tumor or parotid gland; total, with dissection and preservation of facial nerve   cost to me?"
benefit_search-outpatient_other_organ_systems_procedure-1,outpatient other organ systems procedure,"Excision of parotid tumor or parotid gland; total, en bloc removal with sacrifice of facial nerve  ",Which plan(s) cover [outpatient hospital services]?,1,"Which plan(s) cover excision of parotid tumor or parotid gland; total, en bloc removal with sacrifice of facial nerve  ?"
benefit_search-outpatient_other_organ_systems_procedure-2,outpatient other organ systems procedure,"Excision of parotid tumor or parotid gland; total, en bloc removal with sacrifice of facial nerve  ",How much does [outpatient hospital services] cost to me?,2,"How much does excision of parotid tumor or parotid gland; total, en bloc removal with sacrifice of facial nerve   cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical, gastric restrictive procedure; placement of adjustable gastric restrictive device (eg, gastric band and subcutaneous port components)",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover laparoscopy, surgical, gastric restrictive procedure; placement of adjustable gastric restrictive device (eg, gastric band and subcutaneous port components)?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical, gastric restrictive procedure; placement of adjustable gastric restrictive device (eg, gastric band and subcutaneous port components)",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does laparoscopy, surgical, gastric restrictive procedure; placement of adjustable gastric restrictive device (eg, gastric band and subcutaneous port components) cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical, gastric restrictive procedure; removal of adjustable gastric restrictive device component only",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover laparoscopy, surgical, gastric restrictive procedure; removal of adjustable gastric restrictive device component only?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical, gastric restrictive procedure; removal of adjustable gastric restrictive device component only",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does laparoscopy, surgical, gastric restrictive procedure; removal of adjustable gastric restrictive device component only cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical, gastric restrictive procedure; removal and replacement of adjustable gastric restrictive device component only",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover laparoscopy, surgical, gastric restrictive procedure; removal and replacement of adjustable gastric restrictive device component only?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical, gastric restrictive procedure; removal and replacement of adjustable gastric restrictive device component only",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does laparoscopy, surgical, gastric restrictive procedure; removal and replacement of adjustable gastric restrictive device component only cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical, gastric restrictive procedure; removal of adjustable gastric restrictive device and subcutaneous port components",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover laparoscopy, surgical, gastric restrictive procedure; removal of adjustable gastric restrictive device and subcutaneous port components?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical, gastric restrictive procedure; removal of adjustable gastric restrictive device and subcutaneous port components",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does laparoscopy, surgical, gastric restrictive procedure; removal of adjustable gastric restrictive device and subcutaneous port components cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Closure of gastrostomy, surgical",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover closure of gastrostomy, surgical?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Closure of gastrostomy, surgical",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does closure of gastrostomy, surgical cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Gastric restrictive procedure, open; revision of subcutaneous port component only",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover gastric restrictive procedure, open; revision of subcutaneous port component only?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Gastric restrictive procedure, open; revision of subcutaneous port component only",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does gastric restrictive procedure, open; revision of subcutaneous port component only cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Gastric restrictive procedure, open; removal of subcutaneous port component only",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover gastric restrictive procedure, open; removal of subcutaneous port component only?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Gastric restrictive procedure, open; removal of subcutaneous port component only",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does gastric restrictive procedure, open; removal of subcutaneous port component only cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Gastric restrictive procedure, open; removal and replacement of subcutaneous port component only",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover gastric restrictive procedure, open; removal and replacement of subcutaneous port component only?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Gastric restrictive procedure, open; removal and replacement of subcutaneous port component only",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does gastric restrictive procedure, open; removal and replacement of subcutaneous port component only cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical, enterolysis (freeing of intestinal adhesion) (separate procedure)",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover laparoscopy, surgical, enterolysis (freeing of intestinal adhesion) (separate procedure)?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical, enterolysis (freeing of intestinal adhesion) (separate procedure)",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does laparoscopy, surgical, enterolysis (freeing of intestinal adhesion) (separate procedure) cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical; jejunostomy (eg, for decompression or feeding)",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover laparoscopy, surgical; jejunostomy (eg, for decompression or feeding)?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical; jejunostomy (eg, for decompression or feeding)",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does laparoscopy, surgical; jejunostomy (eg, for decompression or feeding) cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,Revision of ileostomy; simple (release of superficial scar) (separate procedure),Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,Which plan(s) cover revision of ileostomy; simple (release of superficial scar) (separate procedure)?
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,Revision of ileostomy; simple (release of superficial scar) (separate procedure),How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,How much does revision of ileostomy; simple (release of superficial scar) (separate procedure) cost to me?
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,Revision of colostomy; simple (release of superficial scar) (separate procedure),Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,Which plan(s) cover revision of colostomy; simple (release of superficial scar) (separate procedure)?
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,Revision of colostomy; simple (release of superficial scar) (separate procedure),How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,How much does revision of colostomy; simple (release of superficial scar) (separate procedure) cost to me?
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,Appendectomy,Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,Which plan(s) cover appendectomy?
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,Appendectomy,How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,How much does appendectomy cost to me?
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical, appendectomy ",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover laparoscopy, surgical, appendectomy ?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical, appendectomy ",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does laparoscopy, surgical, appendectomy  cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Unlisted laparoscopy procedure, appendix ",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover unlisted laparoscopy procedure, appendix ?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Unlisted laparoscopy procedure, appendix ",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does unlisted laparoscopy procedure, appendix  cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical, ablation of 1 or more liver tumor(s); radiofrequency ",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover laparoscopy, surgical, ablation of 1 or more liver tumor(s); radiofrequency ?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical, ablation of 1 or more liver tumor(s); radiofrequency ",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does laparoscopy, surgical, ablation of 1 or more liver tumor(s); radiofrequency  cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical, ablation of 1 or more liver tumor(s); cryosurgical ",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover laparoscopy, surgical, ablation of 1 or more liver tumor(s); cryosurgical ?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical, ablation of 1 or more liver tumor(s); cryosurgical ",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does laparoscopy, surgical, ablation of 1 or more liver tumor(s); cryosurgical  cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Unlisted laparoscopic procedure, liver ",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover unlisted laparoscopic procedure, liver ?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Unlisted laparoscopic procedure, liver ",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does unlisted laparoscopic procedure, liver  cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical; cholecystectomy",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover laparoscopy, surgical; cholecystectomy?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical; cholecystectomy",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does laparoscopy, surgical; cholecystectomy cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical; cholecystectomy with cholangiography",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover laparoscopy, surgical; cholecystectomy with cholangiography?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical; cholecystectomy with cholangiography",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does laparoscopy, surgical; cholecystectomy with cholangiography cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical; cholecystectomy with exploration of common duct ",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover laparoscopy, surgical; cholecystectomy with exploration of common duct ?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical; cholecystectomy with exploration of common duct ",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does laparoscopy, surgical; cholecystectomy with exploration of common duct  cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Umbilectomy, omphalectomy, excision of umbilicus (separate procedure)",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover umbilectomy, omphalectomy, excision of umbilicus (separate procedure)?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Umbilectomy, omphalectomy, excision of umbilicus (separate procedure)",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does umbilectomy, omphalectomy, excision of umbilicus (separate procedure) cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Laparoscopy, abdomen, peritoneum, and omentum, diagnostic, with or without collection of specimen(s) by brushing or washing (separate procedure)",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover laparoscopy, abdomen, peritoneum, and omentum, diagnostic, with or without collection of specimen(s) by brushing or washing (separate procedure)?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Laparoscopy, abdomen, peritoneum, and omentum, diagnostic, with or without collection of specimen(s) by brushing or washing (separate procedure)",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does laparoscopy, abdomen, peritoneum, and omentum, diagnostic, with or without collection of specimen(s) by brushing or washing (separate procedure) cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical; with biopsy (single or multiple) ",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover laparoscopy, surgical; with biopsy (single or multiple) ?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,"Laparoscopy, surgical; with biopsy (single or multiple) ",How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,"How much does laparoscopy, surgical; with biopsy (single or multiple)  cost to me?"
benefit_search-outpatient_dialysis_procedure-1,outpatient dialysis procedure,"Laparoscopy, surgical; with insertion of tunneled intraperitoneal catheter",Which plan(s) cover [outpatient dialysis procedure]?,1,"Which plan(s) cover laparoscopy, surgical; with insertion of tunneled intraperitoneal catheter?"
benefit_search-outpatient_dialysis_procedure-2,outpatient dialysis procedure,"Laparoscopy, surgical; with insertion of tunneled intraperitoneal catheter",How much does [outpatient dialysis procedure] cost to me?,2,"How much does laparoscopy, surgical; with insertion of tunneled intraperitoneal catheter cost to me?"
benefit_search-outpatient_dialysis_procedure-1,outpatient dialysis procedure,"Laparoscopy, surgical; with revision of previously placed intraperitoneal cannula or catheter, with removal of intraluminal obstructive material if performed",Which plan(s) cover [outpatient dialysis procedure]?,1,"Which plan(s) cover laparoscopy, surgical; with revision of previously placed intraperitoneal cannula or catheter, with removal of intraluminal obstructive material if performed?"
benefit_search-outpatient_dialysis_procedure-2,outpatient dialysis procedure,"Laparoscopy, surgical; with revision of previously placed intraperitoneal cannula or catheter, with removal of intraluminal obstructive material if performed",How much does [outpatient dialysis procedure] cost to me?,2,"How much does laparoscopy, surgical; with revision of previously placed intraperitoneal cannula or catheter, with removal of intraluminal obstructive material if performed cost to me?"
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,Removal of peritoneal foreign body from peritoneal cavity,Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,Which plan(s) cover removal of peritoneal foreign body from peritoneal cavity?
benefit_search-outpatient_digestive/gastrointestinal_procedure-2,outpatient digestive/gastrointestinal procedure,Removal of peritoneal foreign body from peritoneal cavity,How much does [outpatient digestive/gastrointestinal procedure] cost to me?,2,How much does removal of peritoneal foreign body from peritoneal cavity cost to me?
benefit_search-outpatient_digestive/gastrointestinal_procedure-1,outpatient digestive/gastrointestinal procedure,"Insertion of tunneled intraperitoneal catheter, with subcutaneous port (ie, totally implantable)",Which plan(s) cover [outpatient digestive/gastrointestinal procedure]?,1,"Which plan(s) cover insertion of tunneled intraperitoneal catheter, with subcutaneous port (ie, totally implantable)?"
